OAM,X(A1),X(A2),X(A3),X(A4),X(A5),X(A6),X(A7),X(A8),X(A9),X(A10),X(A11),Becslés,Tény+0,Delta,Delta/Tény
SM187,225.6,83.6,172.8,19.2,0.0,0.4,-183.2,339.6,66.8,-15.6,4.8,-8880174.3,5.0,8880179.3,177603587.0
SM188,225.6,83.6,129.2,88.8,0.0,0.4,95.2,339.6,66.8,-294.4,4.8,-8880148.9,5.0,8880153.9,177603079.0
SM189,225.6,83.6,172.8,19.2,0.0,0.4,-204.4,339.6,254.4,-15.6,4.8,-8880008.0,5.0,8880013.0,177600260.0
SM190,225.6,83.6,172.8,19.2,0.0,0.4,-204.4,339.6,254.4,-15.6,4.8,-8880008.0,5.0,8880013.0,177600260.0
SM191,225.6,83.6,172.8,214.0,0.0,0.4,-204.4,339.6,254.4,-15.6,4.8,-8879813.2,5.0,8879818.2,177596365.0
SM192,-556.4,83.6,172.8,19.2,0.0,0.4,95.2,339.6,-1607.6,-15.6,4.8,-8882352.7,6.0,8882358.7,148039311.0
SM193,-165.2,83.6,129.2,214.0,0.0,0.4,-204.4,339.6,254.4,-15.6,4.8,-8880247.8,5.0,8880252.8,177605056.0
SM194,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879708.5,5.0,8879713.5,177594269.0
SM195,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879708.5,5.0,8879713.5,177594269.0
SM196,225.6,83.6,172.8,19.2,0.0,0.4,-204.4,339.6,254.4,-15.6,4.8,-8880008.0,5.0,8880013.0,177600260.0
SM197,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879826.6,5.0,8879831.6,177596633.0
SM198,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,393.6,252.8,4.8,-8879300.9,6.0,8879306.9,147988449.0
SM199,-6722.8,-1901.2,-550.0,-3336.8,0.0,0.4,-204.4,-9173.2,-1607.6,-15.6,4.8,-8904395.3,7.0,8904402.3,127205747.0
SM200,225.6,-1901.2,-550.0,19.2,0.0,0.4,95.2,-1846.8,-388.0,-1975.2,4.8,-8887204.8,4.0,8887208.8,222180221.0
SM201,225.6,83.6,172.8,-2088.8,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8881816.3,7.0,8881823.3,126883190.0
SM202,225.6,83.6,172.8,19.2,0.0,-36.8,-204.4,339.6,433.6,594.4,4.8,-8879255.8,5.0,8879260.8,177585217.0
SM203,-165.2,83.6,129.2,-128.4,0.0,0.4,95.2,-820.4,66.8,-15.6,4.8,-8881638.6,5.0,8881643.6,177632872.0
SM204,225.6,83.6,172.8,-128.4,0.0,0.4,95.2,201.6,66.8,-15.6,4.8,-8880181.8,5.0,8880186.8,177603737.0
SM205,225.6,83.6,172.8,-128.4,0.0,0.4,95.2,201.6,66.8,-15.6,4.8,-8880181.8,6.0,8880187.8,148003131.0
SM206,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879638.9,7.0,8879645.9,126852084.0
SM207,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879638.9,7.0,8879645.9,126852084.0
SM208,225.6,83.6,172.8,-128.4,0.0,0.4,-204.4,339.6,254.4,-15.6,4.8,-8880155.7,5.0,8880160.7,177603213.0
SM209,225.6,83.6,172.8,214.0,0.0,0.4,-204.4,339.6,254.4,-15.6,4.8,-8879813.2,5.0,8879818.2,177596365.0
SM210,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879896.2,7.0,8879903.2,126855760.0
SM211,225.6,83.6,172.8,19.2,0.0,0.4,95.2,-120.0,66.8,-15.6,4.8,-8880355.8,6.0,8880361.8,148006031.0
SM212,225.6,83.6,172.8,214.0,0.0,0.4,-183.2,339.6,66.8,-15.6,4.8,-8879979.6,6.0,8879985.6,147999760.0
SM213,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879708.5,6.0,8879714.5,147995241.0
SM214,225.6,83.6,172.8,19.2,0.0,-36.8,-183.2,201.6,66.8,-1975.2,4.8,-8882308.8,5.0,8882313.8,177646276.0
SM215,225.6,83.6,-550.0,88.8,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8880361.8,6.0,8880367.8,148006130.0
SM216,225.6,83.6,172.8,214.0,0.0,0.4,-204.4,339.6,66.8,-15.6,4.8,-8880001.0,5.0,8880006.0,177600120.0
SM217,225.6,83.6,129.2,19.2,0.0,0.4,95.2,201.6,393.6,-15.6,4.8,-8879751.3,5.0,8879756.3,177595126.0
SM218,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879896.2,5.0,8879901.2,177598024.0
SM219,225.6,83.6,129.2,19.2,0.0,0.4,95.2,-120.0,66.8,-15.6,4.8,-8880399.6,5.0,8880404.6,177608091.0
SM220,225.6,83.6,172.8,88.8,0.0,0.4,-204.4,339.6,66.8,-15.6,4.8,-8880126.2,5.0,8880131.2,177602624.0
SM221,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879896.2,6.0,8879902.2,147998370.0
SM222,225.6,83.6,172.8,19.2,0.0,0.4,-183.2,-120.0,393.6,-15.6,4.8,-8880307.3,5.0,8880312.3,177606247.0
SM223,-165.2,83.6,-550.0,-128.4,0.0,0.4,95.2,-1829.6,66.8,-15.6,4.8,-8883326.6,5.0,8883331.6,177666632.0
SM224,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879708.5,6.0,8879714.5,147995241.0
SM225,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879896.2,4.0,8879900.2,221997505.0
SM226,225.6,83.6,172.8,88.8,0.0,-36.8,-183.2,201.6,66.8,-15.6,4.8,-8880279.9,6.0,8880285.9,148004765.0
SM227,225.6,83.6,172.8,19.2,0.0,-36.8,-183.2,339.6,433.6,1151.2,4.8,-8878677.7,6.0,8878683.7,147978062.0
SM228,225.6,1.6,129.2,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879952.4,5.0,8879957.4,177599148.0
SM229,225.6,83.6,172.8,88.8,0.0,-36.8,-183.2,201.6,66.8,-15.6,4.8,-8880279.9,6.0,8880285.9,148004765.0
SM230,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879826.6,5.0,8879831.6,177596633.0
SM231,-6722.8,83.6,-550.0,-128.4,0.0,0.4,-204.4,-6480.0,-388.0,-15.6,4.8,-8895288.8,7.0,8895295.8,127075655.0
SM232,225.6,83.6,-550.0,-128.4,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880766.8,6.0,8880772.8,148012879.0
SM233,225.6,83.6,129.2,214.0,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879745.2,6.0,8879751.2,147995853.0
SM234,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879826.6,5.0,8879831.6,177596633.0
SM235,225.6,-1901.2,-550.0,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8882604.2,6.0,8882610.2,148043503.0
SM236,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880619.1,6.0,8880625.1,148010419.0
SM237,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880619.1,6.0,8880625.1,148010419.0
SM238,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880619.1,6.0,8880625.1,148010419.0
SM239,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880619.1,6.0,8880625.1,148010419.0
SM240,225.6,-1901.2,-550.0,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8882604.2,6.0,8882610.2,148043503.0
SM241,225.6,83.6,172.8,-128.4,0.0,0.4,-183.2,339.6,433.6,594.4,4.8,-8879344.9,5.0,8879349.9,177586999.0
SM242,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,393.6,-15.6,4.8,-8879569.6,6.0,8879575.6,147992926.0
SM243,225.6,83.6,129.2,-128.4,0.0,-36.8,-204.4,-120.0,393.6,-294.4,4.8,-8880835.8,6.0,8880841.8,148014031.0
SM244,239.6,214.0,172.8,19.2,0.0,0.4,95.2,339.6,393.6,-15.6,4.8,-8879425.5,7.0,8879432.5,126849036.0
SM245,239.6,214.0,172.8,19.2,0.0,0.4,95.2,339.6,393.6,-15.6,4.8,-8879425.5,7.0,8879432.5,126849036.0
SM246,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,-1607.6,252.8,4.8,-8882024.8,6.0,8882030.8,148033847.0
SM247,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880619.1,5.0,8880624.1,177612482.0
SM248,225.6,83.6,129.2,19.2,0.0,0.4,-183.2,339.6,254.4,-440.4,4.8,-8880454.9,5.0,8880459.9,177609197.0
SM249,225.6,83.6,-550.0,-128.4,0.0,0.4,95.2,201.6,66.8,-294.4,4.8,-8881183.3,6.0,8881189.3,148019822.0
SM250,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,-1607.6,252.8,4.8,-8882024.8,6.0,8882030.8,148033847.0
SM251,225.6,83.6,172.8,-128.4,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879856.1,6.0,8879862.1,147997702.0
SM252,225.6,83.6,-550.0,-128.4,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880766.8,6.0,8880772.8,148012879.0
SM253,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879513.7,5.0,8879518.7,177590374.0
SM254,225.6,83.6,172.8,19.2,0.0,0.4,-204.4,201.6,254.4,-15.6,4.8,-8880146.0,5.0,8880151.0,177603020.0
SM255,225.6,83.6,-550.0,-128.4,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880766.8,6.0,8880772.8,148012879.0
SM256,225.6,83.6,172.8,214.0,0.0,0.4,-204.4,339.6,254.4,-15.6,4.8,-8879813.2,5.0,8879818.2,177596365.0
SM257,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879708.5,5.0,8879713.5,177594269.0
SM258,-165.2,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,-388.0,-15.6,4.8,-8881464.6,5.0,8881469.6,177629393.0
SM259,225.6,83.6,172.8,-128.4,0.0,0.4,95.2,339.6,393.6,1151.2,4.8,-8878550.3,5.0,8878555.3,177571106.0
SM260,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879826.6,7.0,8879833.6,126854766.0
SM261,225.6,83.6,172.8,-128.4,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879856.1,5.0,8879861.1,177597222.0
SM262,225.6,-1901.2,-550.0,19.2,0.0,0.4,-183.2,-120.0,66.8,-15.6,4.8,-8883342.0,4.0,8883346.0,222083650.0
SM263,225.6,83.6,-550.0,-128.4,0.0,0.4,95.2,-120.0,66.8,-15.6,4.8,-8881226.4,5.0,8881231.4,177624628.0
SM264,225.6,83.6,172.8,-128.4,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879856.1,5.0,8879861.1,177597222.0
SM265,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,393.6,-15.6,4.8,-8879500.0,5.0,8879505.0,177590100.0
SM266,225.6,130.0,172.8,-128.4,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879810.0,7.0,8879817.0,126854528.0
SM267,225.6,-1901.2,-550.0,214.0,0.0,0.4,-183.2,339.6,-1607.6,-15.6,4.8,-8884361.9,4.0,8884365.9,222109148.0
SM268,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879701.4,8.0,8879709.4,110996368.0
SM269,225.6,83.6,-550.0,214.0,0.0,0.4,95.2,339.6,-4628.0,252.8,4.8,-8884850.7,6.0,8884856.7,148080945.0
SM270,225.6,566.8,172.8,214.0,0.0,0.4,95.2,339.6,254.4,252.8,4.8,-8878761.7,6.0,8878767.7,147979462.0
SM271,225.6,83.6,-550.0,214.0,0.0,-36.8,-183.2,339.6,66.8,-15.6,4.8,-8880739.6,6.0,8880745.6,148012427.0
SM272,225.6,566.8,172.8,214.0,0.0,0.4,95.2,339.6,254.4,252.8,4.8,-8878761.7,6.0,8878767.7,147979462.0
SM273,225.6,83.6,172.8,214.0,0.0,0.4,-183.2,339.6,254.4,-15.6,4.8,-8879791.8,5.0,8879796.8,177595937.0
SM274,225.6,83.6,129.2,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879870.4,5.0,8879875.4,177597507.0
SM275,225.6,83.6,129.2,384.8,0.0,-36.8,-204.4,339.6,66.8,-15.6,4.8,-8879911.0,5.0,8879916.0,177598319.0
SM276,225.6,83.6,-550.0,214.0,0.0,-36.8,-183.2,339.6,66.8,-15.6,4.8,-8880739.6,6.0,8880745.6,148012427.0
SM277,225.6,83.6,-550.0,214.0,0.0,0.4,95.2,339.6,-4628.0,252.8,4.8,-8884850.7,6.0,8884856.7,148080945.0
SM278,225.6,566.8,172.8,214.0,0.0,0.4,95.2,339.6,254.4,252.8,4.8,-8878761.7,6.0,8878767.7,147979462.0
SM279,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879513.7,8.0,8879521.7,110994021.0
SM280,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879701.4,7.0,8879708.4,126852978.0
SM281,225.6,130.0,172.8,214.0,0.0,0.4,95.2,339.6,393.6,-15.6,4.8,-8879328.7,6.0,8879334.7,147988911.0
SM282,225.6,130.0,172.8,214.0,0.0,0.4,95.2,339.6,254.4,594.4,4.8,-8878857.3,7.0,8878864.3,126840919.0
SM283,225.6,83.6,129.2,214.0,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879745.2,5.0,8879750.2,177595003.0
SM284,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879701.4,7.0,8879708.4,126852978.0
SM285,225.6,83.6,-550.0,214.0,0.0,-36.8,-183.2,339.6,66.8,-15.6,4.8,-8880739.6,5.0,8880744.6,177614893.0
SM286,225.6,83.6,-550.0,214.0,0.0,-36.8,-183.2,339.6,66.8,-15.6,4.8,-8880739.6,5.0,8880744.6,177614893.0
SM287,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,393.6,-15.6,4.8,-8879569.6,6.0,8879575.6,147992926.0
SM288,225.6,83.6,129.2,214.0,0.0,-36.8,95.2,339.6,66.8,-15.6,4.8,-8879782.3,6.0,8879788.3,147996472.0
SM289,225.6,83.6,-550.0,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880549.6,7.0,8880556.6,126865094.0
SM290,225.6,83.6,172.8,214.0,0.0,-36.8,-204.4,339.6,254.4,252.8,4.8,-8879581.7,5.0,8879586.7,177591735.0
SM291,225.6,83.6,-550.0,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880549.6,7.0,8880556.6,126865094.0
SM292,225.6,566.8,172.8,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879412.9,5.0,8879417.9,177588358.0
SM293,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879513.7,6.0,8879519.7,147991995.0
SM294,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879826.6,6.0,8879832.6,147997211.0
SM295,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,433.6,-15.6,4.8,-8879334.6,6.0,8879340.6,147989010.0
SM296,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,433.6,-15.6,4.8,-8879459.8,5.0,8879464.8,177589296.0
SM297,225.6,1.6,172.8,88.8,0.0,0.4,-183.2,339.6,393.6,-15.6,4.8,-8879860.2,5.0,8879865.2,177597303.0
SM298,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,-4588.0,-15.6,4.8,-8885274.0,5.0,8885279.0,177705581.0
SM299,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,-4588.0,-15.6,4.8,-8885274.0,5.0,8885279.0,177705581.0
SM300,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,-4628.0,-15.6,4.8,-8885314.1,5.0,8885319.1,177706383.0
SM301,225.6,83.6,-550.0,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880549.6,6.0,8880555.6,148009259.0
SM302,225.6,566.8,172.8,-128.4,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879372.8,6.0,8879378.8,147989647.0
SM303,225.6,83.6,129.2,88.8,0.0,0.4,95.2,339.6,-388.0,-15.6,4.8,-8880325.1,5.0,8880330.1,177606602.0
SM304,225.6,83.6,129.2,-128.4,0.0,0.4,95.2,201.6,66.8,-15.6,4.8,-8880225.6,5.0,8880230.6,177604612.0
SM305,225.6,83.6,172.8,19.2,0.0,0.4,-204.4,339.6,254.4,-15.6,4.8,-8880008.0,5.0,8880013.0,177600260.0
SM306,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,393.6,-15.6,4.8,-8879500.0,6.0,8879506.0,147991767.0
SM307,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879896.2,5.0,8879901.2,177598024.0
SM308,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879638.9,6.0,8879644.9,147994082.0
SM309,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879638.9,6.0,8879644.9,147994082.0
SM310,225.6,130.0,172.8,-128.4,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879997.7,6.0,8880003.7,148000062.0
SM311,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,393.6,-15.6,4.8,-8879500.0,6.0,8879506.0,147991767.0
SM312,225.6,83.6,172.8,19.2,0.0,0.4,-204.4,201.6,254.4,-15.6,4.8,-8880146.0,6.0,8880152.0,148002534.0
SM313,225.6,83.6,172.8,214.0,0.0,0.4,-204.4,339.6,66.8,-15.6,4.8,-8880001.0,6.0,8880007.0,148000116.0
SM314,225.6,83.6,172.8,214.0,0.0,-36.8,-204.4,339.6,66.8,-15.6,4.8,-8880038.1,5.0,8880043.1,177600862.0
SM315,225.6,83.6,172.8,88.8,0.0,0.4,-183.2,339.6,66.8,-15.6,4.8,-8880104.8,5.0,8880109.8,177602195.0
SM316,225.6,83.6,172.8,88.8,0.0,0.4,95.2,201.6,66.8,-15.6,4.8,-8879964.6,6.0,8879970.6,147999511.0
SM317,225.6,83.6,172.8,214.0,0.0,-36.8,-204.4,339.6,66.8,-15.6,4.8,-8880038.1,5.0,8880043.1,177600862.0
SM318,225.6,83.6,129.2,214.0,0.0,-36.8,-183.2,339.6,66.8,-15.6,4.8,-8880060.4,6.0,8880066.4,148001107.0
SM319,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879701.4,7.0,8879708.4,126852978.0
SM320,225.6,83.6,129.2,214.0,0.0,-36.8,-183.2,339.6,66.8,-15.6,4.8,-8880060.4,6.0,8880066.4,148001107.0
SM321,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8879701.4,7.0,8879708.4,126852978.0
SM322,225.6,83.6,172.8,214.0,0.0,0.4,-204.4,339.6,254.4,-15.6,4.8,-8879813.2,5.0,8879818.2,177596365.0
SM323,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8880431.4,5.0,8880436.4,177608728.0
SM324,225.6,83.6,172.8,214.0,0.0,-36.8,-183.2,339.6,254.4,-15.6,4.8,-8879829.0,6.0,8879835.0,147997250.0
SM325,225.6,83.6,129.2,449.6,0.0,0.4,95.2,339.6,393.6,-15.6,4.8,-8879182.7,6.0,8879188.7,147986479.0
SM326,225.6,83.6,129.2,449.6,0.0,0.4,95.2,339.6,393.6,-15.6,4.8,-8879182.7,6.0,8879188.7,147986479.0
SM327,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,433.6,-15.6,4.8,-8879334.6,7.0,8879341.6,126847737.0
SM328,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879513.7,5.0,8879518.7,177590374.0
SM329,225.6,130.0,172.8,88.8,0.0,0.4,95.2,339.6,393.6,-15.6,4.8,-8879453.9,6.0,8879459.9,147990998.0
SM330,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879708.5,5.0,8879713.5,177594269.0
SM331,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879513.7,6.0,8879519.7,147991995.0
SM332,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879513.7,6.0,8879519.7,147991995.0
SM333,225.6,83.6,172.8,214.0,0.0,0.4,-204.4,339.6,254.4,-15.6,4.8,-8879813.2,6.0,8879819.2,147996987.0
SM334,225.6,83.6,-550.0,19.2,0.0,0.4,95.2,-120.0,393.6,-15.6,4.8,-8880752.1,5.0,8880757.1,177615142.0
SM335,225.6,83.6,-550.0,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880549.6,7.0,8880556.6,126865094.0
SM336,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879513.7,7.0,8879520.7,126850296.0
SM337,225.6,83.6,172.8,19.2,0.0,0.4,95.2,-1846.8,66.8,-15.6,4.8,-8882082.8,6.0,8882088.8,148034813.0
SM338,225.6,83.6,172.8,214.0,0.0,-36.8,95.2,339.6,66.8,-15.6,4.8,-8879738.6,5.0,8879743.6,177594871.0
SM339,225.6,83.6,172.8,214.0,0.0,-36.8,-204.4,339.6,393.6,350.0,4.8,-8879345.5,6.0,8879351.5,147989192.0
SM340,225.6,130.0,172.8,19.2,0.0,0.4,95.2,339.6,393.6,1151.2,4.8,-8878356.5,7.0,8878363.5,126833764.0
SM341,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,393.6,594.4,4.8,-8878889.8,6.0,8878895.8,147981596.0
SM342,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879513.7,6.0,8879519.7,147991995.0
SM343,225.6,83.6,172.8,-128.4,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880043.8,6.0,8880049.8,148000831.0
SM344,225.6,83.6,172.8,-128.4,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880043.8,6.0,8880049.8,148000831.0
SM345,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,393.6,-15.6,4.8,-8879500.0,6.0,8879506.0,147991767.0
SM346,225.6,83.6,-550.0,19.2,0.0,-36.8,-183.2,339.6,-1607.6,-15.6,4.8,-8882608.7,5.0,8882613.7,177652275.0
SM347,-165.2,1.6,-550.0,214.0,0.0,0.4,95.2,-820.4,-1607.6,-15.6,4.8,-8883731.7,7.0,8883738.7,126910553.0
SM348,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,433.6,252.8,4.8,-8879066.0,6.0,8879072.0,147984533.0
SM349,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,393.6,252.8,4.8,-8879106.2,6.0,8879112.2,147985203.0
SM350,225.6,83.6,-550.0,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880549.6,6.0,8880555.6,148009259.0
SM351,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,254.4,252.8,4.8,-8879245.1,6.0,8879251.1,147987518.0
SM352,225.6,83.6,-550.0,88.8,0.0,0.4,95.2,339.6,66.8,-15.6,4.8,-8880549.6,6.0,8880555.6,148009259.0
SM353,225.6,83.6,-550.0,88.8,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8880361.8,5.0,8880366.8,177607336.0
SM354,225.6,83.6,172.8,214.0,0.0,0.4,-183.2,339.6,254.4,-15.6,4.8,-8879791.8,5.0,8879796.8,177595937.0
SM355,-556.4,214.0,172.8,-2088.8,0.0,-36.8,-1083.2,-9173.2,254.4,-15.6,4.8,-8893196.6,6.0,8893202.6,148220044.0
SM356,-165.2,83.6,-550.0,88.8,0.0,0.4,95.2,-820.4,-1001.6,-15.6,4.8,-8883168.8,6.0,8883174.8,148052914.0
SM357,225.6,83.6,172.8,214.0,0.0,-36.8,95.2,339.6,254.4,-15.6,4.8,-8879550.8,5.0,8879555.8,177591117.0
SM358,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879513.7,7.0,8879520.7,126850296.0
SM359,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,393.6,-15.6,4.8,-8879374.8,7.0,8879381.8,126848311.0
SM360,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,254.4,-15.6,4.8,-8879638.9,6.0,8879644.9,147994082.0
SM361,225.6,83.6,172.8,19.2,0.0,0.4,-183.2,339.6,254.4,-15.6,4.8,-8879986.6,5.0,8879991.6,177599832.0
SM362,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,66.8,252.8,4.8,-8879558.0,6.0,8879564.0,147992733.0
SM363,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,433.6,-15.6,4.8,-8879459.8,5.0,8879464.8,177589296.0
SM364,225.6,83.6,172.8,19.2,0.0,0.4,95.2,339.6,433.6,-15.6,4.8,-8879529.4,5.0,8879534.4,177590688.0
SM365,225.6,83.6,172.8,214.0,0.0,0.4,95.2,357.2,393.6,-15.6,4.8,-8879357.1,7.0,8879364.1,126848059.0
SM366,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,254.4,252.8,4.8,-8879245.1,6.0,8879251.1,147987518.0
SM367,225.6,83.6,172.8,214.0,0.0,0.4,95.2,357.2,393.6,-15.6,4.8,-8879357.1,7.0,8879364.1,126848059.0
SM368,225.6,83.6,172.8,88.8,0.0,0.4,95.2,339.6,393.6,-15.6,4.8,-8879500.0,5.0,8879505.0,177590100.0
SM369,225.6,83.6,172.8,214.0,0.0,0.4,-183.2,339.6,254.4,-15.6,4.8,-8879791.8,5.0,8879796.8,177595937.0
SM370,225.6,130.0,172.8,88.8,0.0,0.4,95.2,201.6,254.4,594.4,4.8,-8879120.5,7.0,8879127.5,126844679.0
SM371,225.6,83.6,-550.0,19.2,0.0,-36.8,-183.2,339.6,-1607.6,-15.6,4.8,-8882608.7,5.0,8882613.7,177652275.0
SM372,225.6,130.0,172.8,-128.4,0.0,0.4,95.2,339.6,66.8,-15.6,-2438.4,-8882440.9,6.0,8882446.9,148040782.0
SM373,225.6,130.0,172.8,-128.4,0.0,0.4,95.2,339.6,66.8,594.4,4.8,-8879387.5,6.0,8879393.5,147989891.0
SM374,225.6,83.6,172.8,19.2,0.0,0.4,-183.2,201.6,433.6,-15.6,4.8,-8879945.5,5.0,8879950.5,177599011.0
SM375,239.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,433.6,-15.6,4.8,-8879320.6,6.0,8879326.6,147988777.0
SM376,225.6,83.6,172.8,214.0,0.0,0.4,95.2,339.6,433.6,-15.6,4.8,-8879334.6,7.0,8879341.6,126847737.0
