ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
SM 276,7.9,0.545,0.06,4.0,0.087,27.0,61,0.9965,3.36,0.67,10.7,6
SM 277,6.9,0.54,0.04,3.0,0.077,7.0,27,0.9987,3.69,0.91,9.4,6
SM 278,11.5,0.18,0.51,4.0,0.104,4.0,23,0.9996,3.28,0.97,10.1,6
SM 279,10.3,0.32,0.45,6.4,0.073,5.0,13,0.9976,3.23,0.82,12.6,8
SM 280,8.9,0.4,0.32,5.6,0.087,10.0,47,0.9991,3.38,0.77,10.5,7
SM 281,11.4,0.26,0.44,3.6,0.071,6.0,19,0.9986,3.12,0.82,9.3,6
SM 282,7.7,0.27,0.68,3.5,0.358,5.0,10,0.9972,3.25,1.08,9.9,7
SM 283,7.6,0.52,0.12,3.0,0.067,12.0,53,0.9971,3.36,0.57,9.1,5
SM 284,8.9,0.4,0.32,5.6,0.087,10.0,47,0.9991,3.38,0.77,10.5,7
SM 285,9.9,0.59,0.07,3.4,0.102,32.0,71,1.00015,3.31,0.71,9.8,5
SM 286,9.9,0.59,0.07,3.4,0.102,32.0,71,1.00015,3.31,0.71,9.8,5
SM 287,12.0,0.45,0.55,2.0,0.073,25.0,49,0.9997,3.1,0.76,10.3,6
SM 288,7.5,0.4,0.12,3.0,0.092,29.0,53,0.9967,3.37,0.7,10.3,6
SM 289,8.7,0.52,0.09,2.5,0.091,20.0,49,0.9976,3.34,0.86,10.6,7
SM 290,11.6,0.42,0.53,3.3,0.105,33.0,98,1.001,3.2,0.95,9.2,5
SM 291,8.7,0.52,0.09,2.5,0.091,20.0,49,0.9976,3.34,0.86,10.6,7
SM 292,11.0,0.2,0.48,2.0,0.342999999999999,6.0,18,0.9979,3.3,0.71,10.5,5
SM 293,10.4,0.55,0.23,2.7,0.091,18.0,48,0.9994,3.22,0.64,10.3,6
SM 294,6.9,0.36,0.25,2.4,0.098,5.0,16,0.9964,3.41,0.6,10.1,6
SM 295,13.3,0.34,0.52,3.2,0.094,17.0,53,1.0014,3.05,0.81,9.5,6
SM 296,10.8,0.5,0.46,2.5,0.073,5.0,27,1.0001,3.05,0.64,9.5,5
SM 297,10.6,0.83,0.37,2.6,0.086,26.0,70,0.9981,3.16,0.52,9.9,5
SM 298,7.1,0.63,0.06,2.0,0.083,8.0,29,0.99855,3.67,0.73,9.6,5
SM 299,7.2,0.65,0.02,2.3,0.094,5.0,31,0.9993,3.67,0.8,9.7,5
SM 300,6.9,0.67,0.06,2.1,0.08,8.0,33,0.99845,3.68,0.71,9.6,5
SM 301,7.5,0.53,0.06,2.6,0.086,20.0,44,0.9965,3.38,0.59,10.7,6
SM 302,11.1,0.18,0.48,1.5,0.068,7.0,15,0.9973,3.22,0.64,10.1,6
SM 303,8.3,0.705,0.12,2.6,0.092,12.0,28,0.9994,3.51,0.72,10.0,5
SM 304,7.4,0.67,0.12,1.6,0.186,5.0,21,0.996,3.39,0.54,9.5,5
SM 305,8.4,0.65,0.6,2.1,0.111999999999999,12.0,90,0.9973,3.2,0.52,9.2,5
SM 306,10.3,0.53,0.48,2.5,0.063,6.0,25,0.9998,3.12,0.59,9.3,6
SM 307,7.6,0.62,0.32,2.2,0.0819999999999999,7.0,54,0.9966,3.36,0.52,9.4,5
SM 308,10.3,0.41,0.42,2.4,0.213,6.0,14,0.9994,3.19,0.62,9.5,6
SM 309,10.3,0.43,0.44,2.4,0.214,5.0,12,0.9994,3.19,0.63,9.5,6
SM 310,7.4,0.29,0.38,1.7,0.062,9.0,30,0.9968,3.41,0.53,9.5,6
SM 311,10.3,0.53,0.48,2.5,0.063,6.0,25,0.9998,3.12,0.59,9.3,6
SM 312,7.9,0.53,0.24,2.0,0.072,15.0,105,0.996,3.27,0.54,9.4,6
SM 313,9.0,0.46,0.31,2.8,0.093,19.0,98,0.99815,3.32,0.63,9.5,6
SM 314,8.6,0.47,0.3,3.0,0.076,30.0,135,0.9976,3.3,0.53,9.4,5
SM 315,7.4,0.36,0.29,2.6,0.087,26.0,72,0.99645,3.39,0.68,11.0,5
SM 316,7.1,0.35,0.29,2.5,0.096,20.0,53,0.9962,3.42,0.65,11.0,6
SM 317,9.6,0.56,0.23,3.4,0.102,37.0,92,0.9996,3.3,0.65,10.1,5
SM 318,9.6,0.77,0.12,2.9,0.0819999999999999,30.0,74,0.99865,3.3,0.64,10.4,6
SM 319,9.8,0.66,0.39,3.2,0.083,21.0,59,0.9989,3.37,0.71,11.5,7
SM 320,9.6,0.77,0.12,2.9,0.0819999999999999,30.0,74,0.99865,3.3,0.64,10.4,6
SM 321,9.8,0.66,0.39,3.2,0.083,21.0,59,0.9989,3.37,0.71,11.5,7
SM 322,9.3,0.61,0.26,3.4,0.09,25.0,87,0.99975,3.24,0.62,9.7,5
SM 323,7.8,0.62,0.05,2.3,0.079,6.0,18,0.99735,3.29,0.63,9.3,5
SM 324,10.3,0.59,0.42,2.8,0.09,35.0,73,0.999,3.28,0.7,9.5,6
SM 325,10.0,0.49,0.2,11.0,0.071,13.0,50,1.0015,3.16,0.69,9.2,6
SM 326,10.0,0.49,0.2,11.0,0.071,13.0,50,1.0015,3.16,0.69,9.2,6
SM 327,11.6,0.53,0.66,3.65,0.121,6.0,14,0.9978,3.05,0.74,11.5,7
SM 328,10.3,0.44,0.5,4.5,0.107,5.0,13,0.998,3.28,0.83,11.5,5
SM 329,13.4,0.27,0.62,2.6,0.0819999999999999,6.0,21,1.0002,3.16,0.67,9.7,6
SM 330,10.7,0.46,0.39,2.0,0.061,7.0,15,0.9981,3.18,0.62,9.5,5
SM 331,10.2,0.36,0.64,2.9,0.122,10.0,41,0.998,3.23,0.66,12.5,6
SM 332,10.2,0.36,0.64,2.9,0.122,10.0,41,0.998,3.23,0.66,12.5,6
SM 333,8.0,0.58,0.28,3.2,0.066,21.0,114,0.9973,3.22,0.54,9.4,6
SM 334,8.4,0.56,0.08,2.1,0.105,16.0,44,0.9958,3.13,0.52,11.0,5
SM 335,7.9,0.65,0.01,2.5,0.078,17.0,38,0.9963,3.34,0.74,11.7,7
SM 336,11.9,0.695,0.53,3.4,0.128,7.0,21,0.9992,3.17,0.84,12.2,7
SM 337,8.9,0.43,0.45,1.9,0.052,6.0,16,0.9948,3.35,0.7,12.5,6
SM 338,7.8,0.43,0.32,2.8,0.08,29.0,58,0.9974,3.31,0.64,10.3,5
SM 339,12.4,0.49,0.58,3.0,0.103,28.0,99,1.0008,3.16,1.0,11.5,6
SM 340,12.5,0.28,0.54,2.3,0.0819999999999999,12.0,29,0.9997,3.11,1.36,9.8,7
SM 341,12.2,0.34,0.5,2.4,0.066,10.0,21,1.0,3.12,1.18,9.2,6
SM 342,10.6,0.42,0.48,2.7,0.065,5.0,18,0.9972,3.21,0.87,11.3,6
SM 343,10.9,0.39,0.47,1.8,0.118,6.0,14,0.9982,3.3,0.75,9.8,6
SM 344,10.9,0.39,0.47,1.8,0.118,6.0,14,0.9982,3.3,0.75,9.8,6
SM 345,11.9,0.57,0.5,2.6,0.0819999999999999,6.0,32,1.0006,3.12,0.78,10.7,6
SM 346,7.0,0.685,0.0,1.9,0.067,40.0,63,0.9979,3.6,0.81,9.9,5
SM 347,6.6,0.815,0.02,2.7,0.072,17.0,34,0.9955,3.58,0.89,12.3,7
SM 348,13.8,0.49,0.67,3.0,0.093,6.0,15,0.9986,3.02,0.93,12.0,6
SM 349,9.6,0.56,0.31,2.8,0.089,15.0,46,0.9979,3.11,0.92,10.0,6
SM 350,9.1,0.785,0.0,2.6,0.093,11.0,28,0.9994,3.36,0.86,9.4,6
SM 351,10.7,0.67,0.22,2.7,0.107,17.0,34,1.0004,3.28,0.98,9.9,6
SM 352,9.1,0.795,0.0,2.6,0.096,11.0,26,0.9994,3.35,0.83,9.4,6
SM 353,7.7,0.665,0.0,2.4,0.09,8.0,19,0.9974,3.27,0.73,9.3,5
SM 354,13.5,0.53,0.79,4.8,0.12,23.0,77,1.0018,3.18,0.77,13.0,5
SM 355,6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6
SM 356,6.7,0.75,0.01,2.4,0.078,17.0,32,0.9955,3.55,0.61,12.8,6
SM 357,11.5,0.41,0.52,3.0,0.08,29.0,55,1.0001,3.26,0.88,11.0,5
SM 358,10.5,0.42,0.66,2.95,0.115999999999999,12.0,29,0.997,3.24,0.75,11.7,7
SM 359,11.9,0.43,0.66,3.1,0.109,10.0,23,1.0,3.15,0.85,10.4,7
SM 360,12.6,0.38,0.66,2.6,0.088,10.0,41,1.001,3.17,0.68,9.8,6
SM 361,8.2,0.7,0.23,2.0,0.099,14.0,81,0.9973,3.19,0.7,9.4,5
SM 362,8.6,0.45,0.31,2.6,0.086,21.0,50,0.9982,3.37,0.91,9.9,6
SM 363,11.9,0.58,0.66,2.5,0.072,6.0,37,0.9992,3.05,0.56,10.0,5
SM 364,12.5,0.46,0.63,2.0,0.071,6.0,15,0.9988,2.99,0.87,10.2,5
SM 365,12.8,0.615,0.66,5.8,0.083,7.0,42,1.0022,3.07,0.73,10.0,7
SM 366,10.0,0.42,0.5,3.4,0.107,7.0,21,0.9979,3.26,0.93,11.8,6
SM 367,12.8,0.615,0.66,5.8,0.083,7.0,42,1.0022,3.07,0.73,10.0,7
SM 368,10.4,0.575,0.61,2.6,0.076,11.0,24,1.0,3.16,0.69,9.0,5
SM 369,10.3,0.34,0.52,2.8,0.159,15.0,75,0.9998,3.18,0.64,9.4,5
SM 370,9.4,0.27,0.53,2.4,0.074,6.0,18,0.9962,3.2,1.13,12.0,7
SM 371,6.9,0.765,0.02,2.3,0.063,35.0,63,0.9975,3.57,0.78,9.9,5
SM 372,7.9,0.24,0.4,1.6,0.0559999999999999,11.0,25,0.9967,3.32,0.87,8.7,6
SM 373,9.1,0.28,0.48,1.8,0.067,26.0,46,0.9967,3.32,1.04,10.6,6
SM 374,7.4,0.55,0.22,2.2,0.106,12.0,72,0.9959,3.05,0.63,9.2,5
SM 375,14.0,0.41,0.63,3.8,0.089,6.0,47,1.0014,3.01,0.81,10.8,6
SM 376,11.5,0.54,0.71,4.4,0.124,6.0,15,0.9984,3.01,0.83,11.8,7
SM 377,11.5,0.45,0.5,3.0,0.078,19.0,47,1.0003,3.26,1.11,11.0,6
SM 378,9.4,0.27,0.53,2.4,0.074,6.0,18,0.9962,3.2,1.13,12.0,7
SM 379,11.4,0.625,0.66,6.2,0.088,6.0,24,0.9988,3.11,0.99,13.3,6
SM 380,8.3,0.42,0.38,2.5,0.094,24.0,60,0.9979,3.31,0.7,10.8,6
SM 381,8.3,0.26,0.42,2.0,0.08,11.0,27,0.9974,3.21,0.8,9.4,6
SM 382,13.7,0.415,0.68,2.9,0.085,17.0,43,1.0014,3.06,0.8,10.0,6
SM 383,8.3,0.26,0.42,2.0,0.08,11.0,27,0.9974,3.21,0.8,9.4,6
SM 384,8.3,0.26,0.42,2.0,0.08,11.0,27,0.9974,3.21,0.8,9.4,6
SM 385,7.7,0.51,0.28,2.1,0.087,23.0,54,0.998,3.42,0.74,9.2,5
SM 386,7.4,0.63,0.07,2.4,0.09,11.0,37,0.9979,3.43,0.76,9.7,6
SM 387,7.8,0.54,0.26,2.0,0.088,23.0,48,0.9981,3.41,0.74,9.2,6
SM 388,8.3,0.66,0.15,1.9,0.079,17.0,42,0.9972,3.31,0.54,9.6,6
SM 389,7.8,0.46,0.26,1.9,0.088,23.0,53,0.9981,3.43,0.74,9.2,6
SM 390,9.6,0.38,0.31,2.5,0.096,16.0,49,0.9982,3.19,0.7,10.0,7
SM 391,5.6,0.85,0.05,1.4,0.045,12.0,88,0.9924,3.56,0.82,12.9,8
SM 392,13.7,0.415,0.68,2.9,0.085,17.0,43,1.0014,3.06,0.8,10.0,6
SM 393,9.5,0.37,0.52,2.0,0.0819999999999999,6.0,26,0.998,3.18,0.51,9.5,5
SM 394,8.4,0.665,0.61,2.0,0.111999999999999,13.0,95,0.997,3.16,0.54,9.1,5
SM 395,12.7,0.6,0.65,2.3,0.063,6.0,25,0.9997,3.03,0.57,9.9,5
SM 396,12.0,0.37,0.76,4.2,0.066,7.0,38,1.0004,3.22,0.6,13.0,7
SM 397,6.6,0.735,0.02,7.9,0.122,68.0,124,0.9994,3.47,0.53,9.9,5
SM 398,11.5,0.59,0.59,2.6,0.087,13.0,49,0.9988,3.18,0.65,11.0,6
SM 399,11.5,0.59,0.59,2.6,0.087,13.0,49,0.9988,3.18,0.65,11.0,6
SM 400,8.7,0.765,0.22,2.3,0.064,9.0,42,0.9963,3.1,0.55,9.4,5
SM 401,6.6,0.735,0.02,7.9,0.122,68.0,124,0.9994,3.47,0.53,9.9,5
SM 402,7.7,0.26,0.3,1.7,0.059,20.0,38,0.9949,3.29,0.47,10.8,6
SM 403,12.2,0.48,0.54,2.6,0.085,19.0,64,1.0,3.1,0.61,10.5,6
SM 404,11.4,0.6,0.49,2.7,0.085,10.0,41,0.9994,3.15,0.63,10.5,6
SM 405,7.7,0.69,0.05,2.7,0.075,15.0,27,0.9974,3.26,0.61,9.1,5
SM 406,8.7,0.31,0.46,1.4,0.059,11.0,25,0.9966,3.36,0.76,10.1,6
SM 407,9.8,0.44,0.47,2.5,0.063,9.0,28,0.9981,3.24,0.65,10.8,6
SM 408,12.0,0.39,0.66,3.0,0.093,12.0,30,0.9996,3.18,0.63,10.8,7
SM 409,10.4,0.34,0.58,3.7,0.174,6.0,16,0.997,3.19,0.7,11.3,6
SM 410,12.5,0.46,0.49,4.5,0.07,26.0,49,0.9981,3.05,0.57,9.6,4
SM 411,9.0,0.43,0.34,2.5,0.08,26.0,86,0.9987,3.38,0.62,9.5,6
SM 412,9.1,0.45,0.35,2.4,0.08,23.0,78,0.9987,3.38,0.62,9.5,5
SM 413,7.1,0.735,0.16,1.9,0.1,15.0,77,0.9966,3.27,0.64,9.3,5
SM 414,9.9,0.4,0.53,6.7,0.0969999999999999,6.0,19,0.9986,3.27,0.82,11.7,7
SM 415,8.8,0.52,0.34,2.7,0.087,24.0,122,0.9982,3.26,0.61,9.5,5
SM 416,8.6,0.725,0.24,6.6,0.116999999999999,31.0,134,1.0014,3.32,1.07,9.3,5
SM 417,10.6,0.48,0.64,2.2,0.111,6.0,20,0.997,3.26,0.66,11.7,6
SM 418,7.0,0.58,0.12,1.9,0.091,34.0,124,0.9956,3.44,0.48,10.5,5
SM 419,11.9,0.38,0.51,2.0,0.121,7.0,20,0.9996,3.24,0.76,10.4,6
SM 420,6.8,0.77,0.0,1.8,0.066,34.0,52,0.9976,3.62,0.68,9.9,5
SM 421,9.5,0.56,0.33,2.4,0.089,35.0,67,0.9972,3.28,0.73,11.8,7
SM 422,6.6,0.84,0.03,2.3,0.059,32.0,48,0.9952,3.52,0.56,12.3,7
SM 423,7.7,0.96,0.2,2.0,0.047,15.0,60,0.9955,3.36,0.44,10.9,5
SM 424,10.5,0.24,0.47,2.1,0.066,6.0,24,0.9978,3.15,0.9,11.0,7
SM 425,7.7,0.96,0.2,2.0,0.047,15.0,60,0.9955,3.36,0.44,10.9,5
SM 426,6.6,0.84,0.03,2.3,0.059,32.0,48,0.9952,3.52,0.56,12.3,7
SM 427,6.4,0.67,0.08,2.1,0.045,19.0,48,0.9949,3.49,0.49,11.4,6
SM 428,9.5,0.78,0.22,1.9,0.077,6.0,32,0.9988,3.26,0.56,10.6,6
SM 429,9.1,0.52,0.33,1.3,0.07,9.0,30,0.9978,3.24,0.6,9.3,5
SM 430,12.8,0.84,0.63,2.4,0.088,13.0,35,0.9997,3.1,0.6,10.4,6
SM 431,10.5,0.24,0.47,2.1,0.066,6.0,24,0.9978,3.15,0.9,11.0,7
SM 432,7.8,0.55,0.35,2.2,0.074,21.0,66,0.9974,3.25,0.56,9.2,5
SM 433,11.9,0.37,0.69,2.3,0.078,12.0,24,0.9958,3.0,0.65,12.8,6
SM 434,12.3,0.39,0.63,2.3,0.091,6.0,18,1.0004,3.16,0.49,9.5,5
SM 435,10.4,0.41,0.55,3.2,0.076,22.0,54,0.9996,3.15,0.89,9.9,6
SM 436,12.3,0.39,0.63,2.3,0.091,6.0,18,1.0004,3.16,0.49,9.5,5
SM 437,8.0,0.67,0.3,2.0,0.06,38.0,62,0.9958,3.26,0.56,10.2,6
SM 438,11.1,0.45,0.73,3.2,0.066,6.0,22,0.9986,3.17,0.66,11.2,6
SM 439,10.4,0.41,0.55,3.2,0.076,22.0,54,0.9996,3.15,0.89,9.9,6
SM 440,7.0,0.62,0.18,1.5,0.062,7.0,50,0.9951,3.08,0.6,9.3,5
SM 441,12.6,0.31,0.72,2.2,0.072,6.0,29,0.9987,2.88,0.82,9.8,8
SM 442,11.9,0.4,0.65,2.15,0.068,7.0,27,0.9988,3.06,0.68,11.3,6
SM 443,15.6,0.685,0.76,3.7,0.1,6.0,43,1.0032,2.95,0.68,11.2,7
SM 444,10.0,0.44,0.49,2.7,0.077,11.0,19,0.9963,3.23,0.63,11.6,7
SM 445,5.3,0.57,0.01,1.7,0.054,5.0,27,0.9934,3.57,0.84,12.5,7
SM 446,9.5,0.735,0.1,2.1,0.079,6.0,31,0.9986,3.23,0.56,10.1,6
SM 447,12.5,0.38,0.6,2.6,0.081,31.0,72,0.9996,3.1,0.73,10.5,5
SM 448,9.3,0.48,0.29,2.1,0.127,6.0,16,0.9968,3.22,0.72,11.2,5
SM 449,8.6,0.53,0.22,2.0,0.1,7.0,27,0.9967,3.2,0.56,10.2,6
SM 450,11.9,0.39,0.69,2.8,0.095,17.0,35,0.9994,3.1,0.61,10.8,6
SM 451,11.9,0.39,0.69,2.8,0.095,17.0,35,0.9994,3.1,0.61,10.8,6
SM 452,8.4,0.37,0.53,1.8,0.413,9.0,26,0.9979,3.06,1.06,9.1,6
SM 453,6.8,0.56,0.03,1.7,0.084,18.0,35,0.9968,3.44,0.63,10.0,6
SM 454,10.4,0.33,0.63,2.8,0.084,5.0,22,0.9998,3.26,0.74,11.2,7
SM 455,7.0,0.23,0.4,1.6,0.063,21.0,67,0.9952,3.5,0.63,11.1,5
SM 456,11.3,0.62,0.67,5.2,0.086,6.0,19,0.9988,3.22,0.69,13.4,8
SM 457,8.9,0.59,0.39,2.3,0.095,5.0,22,0.9986,3.37,0.58,10.3,5
SM 458,9.2,0.63,0.21,2.7,0.0969999999999999,29.0,65,0.9988,3.28,0.58,9.6,5
SM 459,10.4,0.33,0.63,2.8,0.084,5.0,22,0.9998,3.26,0.74,11.2,7
SM 460,11.6,0.58,0.66,2.2,0.074,10.0,47,1.0008,3.25,0.57,9.0,3
SM 461,9.2,0.43,0.52,2.3,0.083,14.0,23,0.9976,3.35,0.61,11.3,6
SM 462,8.3,0.615,0.22,2.6,0.087,6.0,19,0.9982,3.26,0.61,9.3,5
SM 463,11.0,0.26,0.68,2.55,0.085,10.0,25,0.997,3.18,0.61,11.8,5
SM 464,8.1,0.66,0.7,2.2,0.098,25.0,129,0.9972,3.08,0.53,9.0,5
SM 465,11.5,0.315,0.54,2.1,0.084,5.0,15,0.9987,2.98,0.7,9.2,6
SM 466,10.0,0.29,0.4,2.9,0.098,10.0,26,1.0006,3.48,0.91,9.7,5
SM 467,10.3,0.5,0.42,2.0,0.069,21.0,51,0.9982,3.16,0.72,11.5,6
SM 468,8.8,0.46,0.45,2.6,0.065,7.0,18,0.9947,3.32,0.79,14.0,6
SM 469,11.4,0.36,0.69,2.1,0.09,6.0,21,1.0,3.17,0.62,9.2,6
SM 470,8.7,0.82,0.02,1.2,0.07,36.0,48,0.9952,3.2,0.58,9.8,5
SM 471,13.0,0.32,0.65,2.6,0.093,15.0,47,0.9996,3.05,0.61,10.6,5
SM 472,9.6,0.54,0.42,2.4,0.081,25.0,52,0.997,3.2,0.71,11.4,6
SM 473,12.5,0.37,0.55,2.6,0.083,25.0,68,0.9995,3.15,0.82,10.4,6
SM 474,9.9,0.35,0.55,2.1,0.062,5.0,14,0.9971,3.26,0.79,10.6,5
SM 475,10.5,0.28,0.51,1.7,0.08,10.0,24,0.9982,3.2,0.89,9.4,6
SM 476,9.6,0.68,0.24,2.2,0.087,5.0,28,0.9988,3.14,0.6,10.2,5
SM 477,9.3,0.27,0.41,2.0,0.091,6.0,16,0.998,3.28,0.7,9.7,5
SM 478,10.4,0.24,0.49,1.8,0.075,6.0,20,0.9977,3.18,1.06,11.0,6
SM 479,9.6,0.68,0.24,2.2,0.087,5.0,28,0.9988,3.14,0.6,10.2,5
SM 480,9.4,0.685,0.11,2.7,0.077,6.0,31,0.9984,3.19,0.7,10.1,6
SM 481,10.6,0.28,0.39,15.5,0.069,6.0,23,1.0026,3.12,0.66,9.2,5
SM 482,9.4,0.3,0.56,2.8,0.08,6.0,17,0.9964,3.15,0.92,11.7,8
SM 483,10.6,0.36,0.59,2.2,0.152,6.0,18,0.9986,3.04,1.05,9.4,5
SM 484,10.6,0.36,0.6,2.2,0.152,7.0,18,0.9986,3.04,1.06,9.4,5
SM 485,10.6,0.44,0.68,4.1,0.114,6.0,24,0.997,3.06,0.66,13.4,6
SM 486,10.2,0.67,0.39,1.9,0.054,6.0,17,0.9976,3.17,0.47,10.0,5
SM 487,10.2,0.67,0.39,1.9,0.054,6.0,17,0.9976,3.17,0.47,10.0,5
SM 488,10.2,0.645,0.36,1.8,0.053,5.0,14,0.9982,3.17,0.42,10.0,6
SM 489,11.6,0.32,0.55,2.8,0.081,35.0,67,1.0002,3.32,0.92,10.8,7
SM 490,9.3,0.39,0.4,2.6,0.073,10.0,26,0.9984,3.34,0.75,10.2,6
SM 491,9.3,0.775,0.27,2.8,0.078,24.0,56,0.9984,3.31,0.67,10.6,6
SM 492,9.2,0.41,0.5,2.5,0.055,12.0,25,0.9952,3.34,0.79,13.3,7
SM 493,8.9,0.4,0.51,2.6,0.052,13.0,27,0.995,3.32,0.9,13.4,7
SM 494,8.7,0.69,0.31,3.0,0.086,23.0,81,1.0002,3.48,0.74,11.6,6
SM 495,6.5,0.39,0.23,8.3,0.051,28.0,91,0.9952,3.44,0.55,12.1,6
SM 496,10.7,0.35,0.53,2.6,0.07,5.0,16,0.9972,3.15,0.65,11.0,8
SM 497,7.8,0.52,0.25,1.9,0.081,14.0,38,0.9984,3.43,0.65,9.0,6
SM 498,7.2,0.34,0.32,2.5,0.09,43.0,113,0.9966,3.32,0.79,11.1,5
SM 499,10.7,0.35,0.53,2.6,0.07,5.0,16,0.9972,3.15,0.65,11.0,8
SM 500,8.7,0.69,0.31,3.0,0.086,23.0,81,1.0002,3.48,0.74,11.6,6
